виться,несовершенный
извиваться,несовершенный
змеиться,несовершенный
петлять,несовершенный
вилять,несовершенный
падать,несовершенный
низвергаться,несовершенный
свергаться,несовершенный
всходить,несовершенный
взойти,совершенный
восходить,несовершенный
взойти,совершенный
вставать,несовершенный
встать,совершенный
подниматься,несовершенный
подняться,совершенный
заходить,несовершенный
зайти,совершенный
закатываться,несовершенный
закатиться,совершенный
садиться,несовершенный
сесть,совершенный
клубиться,несовершенный
дымить,несовершенный
дымиться,несовершенный
куриться,несовершенный
клубить,несовершенный
освещать,несовершенный
осветить,совершенный
озарять,несовершенный
озарить,совершенный
осиять,совершенный
высветлять,несовершенный
высветлить,совершенный
высвечивать,несовершенный
высветить,совершенный
отблескивать,несовершенный
отливать,несовершенный
отливаться,несовершенный
отсвечивать,несовершенный
отсвечиваться,несовершенный
бликовать,несовершенный
отражаться,несовершенный
отразиться,совершенный
отсвечивать,несовершенный
отсвечиваться,несовершенный
подниматься,несовершенный
подняться,совершенный
восходить,несовершенный
взойти,совершенный
всходить,несовершенный
взойти,совершенный
подыматься,несовершенный
подняться,совершенный
рассветать,несовершенный
рассвести,совершенный
брезжить,несовершенный
брезжиться,несовершенный
светать,несовершенный
светлеть,несовершенный
посветлеть,совершенный
светиться,несовершенный
брезжить,несовершенный
брезжиться,несовершенный
гореть,несовершенный
лучиться,несовершенный
мерцать,несовершенный
мигать,несовершенный
моргать,несовершенный
просвечивать,несовершенный
сверкать,несовершенный
светить,несовершенный
сиять,несовершенный
сквозить,несовершенный
теплиться,несовершенный
смеркаться,несовершенный
смеркнуться,совершенный
вечереть,несовершенный
свечереть,совершенный
меркнуть,несовершенный
смеркнуть,совершенный
темнеть,несовершенный
стемнеть,совершенный
темнеться,несовершенный
стемнеться,совершенный
жечь,несовершенный
палить,несовершенный
печь,несовершенный
припекать,несовершенный
припечь,совершенный
жарить,несовершенный
калить,несовершенный
замерзать,несовершенный
замёрзнуть,совершенный
подмерзать,несовершенный
подмёрзнуть,совершенный
сковываться,несовершенный
сковаться,совершенный
вставать,несовершенный
встать,совершенный
застывать,несовершенный
застыть,совершенный
становиться,несовершенный
стать,совершенный
замораживать,несовершенный
заморозить,совершенный
заковывать,несовершенный
заковать,совершенный
заледенить,несовершенный
сковывать,несовершенный
сковать,совершенный
схватывать,несовершенный
схватить,совершенный
застилать,несовершенный
застлать,совершенный
заволакивать,несовершенный
заволочь,совершенный
закрывать,несовершенный
закрыть,совершенный
затуманивать,несовершенный
затуманить,совершенный
затягивать,несовершенный
затянуть,совершенный
обволакивать,несовершенный
обволочь,совершенный
обкладывать,несовершенный
обложить,совершенный
окутывать,несовершенный
окутать,совершенный
подёргивать,несовершенный
подёрнуть,совершенный
туманить,несовершенный
затуманить,совершенный
заслонять,несовершенный
заслонить,совершенный
загораживать,несовершенный
загородить,совершенный
проясняться,несовершенный
проясниться,совершенный
светлеть,несовершенный
просветлеть,совершенный
проясниваться,несовершенный
проясниться,совершенный
разветриваться,несовершенный
разветриться,совершенный
разгуливаться,несовершенный
разгуляться,совершенный
разъяснеть,несовершенный
разъясниваться,несовершенный
разъясниться,совершенный
распогоживаться,несовершенный
распогодиться,совершенный
яснеть,несовершенный
прояснеть,совершенный
стлаться,несовершенный
ползти,несовершенный
стелиться,несовершенный
таять,несовершенный
растаять,совершенный
оттаивать,несовершенный
оттаять,совершенный
холодеть,несовершенный
похолодеть,совершенный
замерзать,несовершенный
замёрзнуть,совершенный
леденеть,несовершенный
заледенеть,совершенный
стынуть,несовершенный
остынуть,совершенный
стыть,несовершенный
застыть,совершенный
холодать,несовершенный
похолодать,совершенный
холоднеть,несовершенный
холодить,несовершенный
леденить,несовершенный
охлаждать,несовершенный
охладить,совершенный
студить,несовершенный
остудить,совершенный
дуть,несовершенный
веять,несовершенный
задувать,несовершенный
тянуть,несовершенный
дышать,несовершенный
овевать,несовершенный
овеять,совершенный
обвевать,несовершенный
обвеять,совершенный
обдувать,несовершенный
обдуть,совершенный
опахивать,несовершенный
опахнуть,совершенный
раздувать,несовершенный
раздуть,совершенный
разносить,несовершенный
разнести,совершенный
рассеивать,несовершенный
рассеять,совершенный
бушевать,несовершенный
безумствовать,несовершенный
беситься,несовершенный
буйствовать,несовершенный
злиться,несовершенный
свирепствовать,несовершенный
неистовствовать,несовершенный
бесноваться,несовершенный
бесчинствовать,несовершенный
буянить,несовершенный
лютовать,несовершенный
яриться,несовершенный
затоплять,несовершенный
затопить,совершенный
заливать,несовершенный
залить,совершенный
затапливать,несовершенный
затопить,совершенный
наводнять,несовершенный
наводнить,совершенный
потоплять,несовершенный
потопить,совершенный
разбушеваться,несовершенный
разыгрываться,несовершенный
разыграться,совершенный
взбеситься,совершенный
взбушевать,совершенный
взбушеваться,совершенный
разгуливаться,несовершенный
разгуляться,совершенный
сносить,несовершенный
снести,совершенный
сметать,несовершенный
смести,совершенный
смывать,несовершенный
смыть,совершенный
заносить,несовершенный
занести,совершенный
завевать,несовершенный
завеять,совершенный
заметать,несовершенный
замести,совершенный
запорашивать,несовершенный
запорошить,совершенный
засыпать,несовершенный
засыпать,совершенный
идти,несовершенный
выпадать,несовершенный
выпасть,совершенный
падать,несовершенный
сеять,несовершенный
сеяться,несовершенный
сыпать,несовершенный
сыпаться,несовершенный
мести,несовершенный
вьюжить,несовершенный
пуржить,несовершенный
моросить,несовершенный
крапать,несовершенный
накрапывать,несовершенный
посыпать,несовершенный
посыпать,совершенный
припорашивать,несовершенный
припорошить,совершенный
присыпать,несовершенный
присыпать,совершенный
усиливаться,несовершенный
усилиться,совершенный
припускать,несовершенный
припустить,совершенный
разыгрываться,несовершенный
разыграться,совершенный
гасить,несовершенный
погасить,совершенный
гасить,несовершенный
загасить,совершенный
гасить,несовершенный
угасить,совершенный
тушить,несовершенный
затушить,совершенный
тушить,несовершенный
потушить,совершенный
тушить,несовершенный
утушить,совершенный
угашать,несовершенный
угасить,совершенный
утушать,несовершенный
утушить,совершенный
гаснуть,несовершенный
погаснуть,совершенный
гаснуть,несовершенный
загаснуть,совершенный
гаснуть,несовершенный
угаснуть,совершенный
погасать,несовершенный
погаснуть,совершенный
потухать,несовершенный
потухнуть,совершенный
тухнуть,несовершенный
затухнуть,совершенный
тухнуть,несовершенный
потухнуть,совершенный
угасать,несовершенный
угаснуть,совершенный
затухать,несовершенный
затухнуть,совершенный
гореть,несовершенный
пламенеть,несовершенный
полыхать,несовершенный
пылать,несовершенный
дымить,несовершенный
чадить,несовершенный
дымиться,несовершенный
дымить,несовершенный
куриться,несовершенный
загораться,несовершенный
загореться,совершенный
воспламеняться,несовершенный
воспламениться,совершенный
вспыхивать,несовершенный
вспыхнуть,совершенный
зажигаться,несовершенный
зажечься,совершенный
заниматься,несовершенный
заняться,совершенный
запылать,совершенный
зреть,несовершенный
созреть,совершенный
выспевать,несовершенный
краснеть,несовершенный
покраснеть,совершенный
поспевать,несовершенный
поспеть,совершенный
созревать,несовершенный
созреть,совершенный
спеть,несовершенный
поспеть,совершенный
опадать,несовершенный
опасть,совершенный
облетать,несовершенный
облететь,совершенный
осыпаться,несовершенный
осыпаться,совершенный
прорастать,несовершенный
прорасти,совершенный
всходить,несовершенный
взойти,совершенный
вылезть,совершенный
показываться,несовершенный
показаться,совершенный
пробиваться,несовершенный
пробиться,совершенный
вылезать,несовершенный
вылезти,совершенный
проклёвываться,несовершенный
проклюнуться,совершенный
расти,несовершенный
вырасти,совершенный
произрастать,несовершенный
произрасти,совершенный
рождаться,несовершенный
родиться,совершенный
расцветать,несовершенный
расцвести,совершенный
разворачиваться,несовершенный
развернуться,совершенный
раскрываться,несовершенный
раскрыться,совершенный
распускаться,несовершенный
распуститься,совершенный
сбрасывать,несовершенный
сбросить,совершенный
ронять,несовершенный
обронить,совершенный
терять,несовершенный
потерять,совершенный
скидывать,несовершенный
скинуть,совершенный
вырождаться,несовершенный
выродиться,совершенный
дегенерировать,двувидовой
калечиться,несовершенный
увечиться,несовершенный
изувечиться,совершенный
уродоваться,несовершенный
изуродоваться,совершенный
кастрировать,несовершенный
выхолащивать,несовершенный
выхолостить,совершенный
оскоплять,несовершенный
оскопить,совершенный
скопить,несовершенный
оскопить,совершенный
холостить,несовершенный
